zone_id,location_type,stop_url,stop_name,preferred,stop_desc,wheelchair_boarding,stop_lat,stop_id,stop_lon,parent_station,stop_timezone,stop_code
,0,,Harmony Southbound @ Palace,2,,1,43.90330500000001,1149,-78.833634,,,1149
,0,,Country Lane Northbound @ Gartshore,2,,1,43.898544,115,-78.969667,,,115
,0,,Harmony Southbound @ Hoskin,2,,1,43.901176,1150,-78.83266999999998,,,1150
,0,,Southbound @ 188 Harmony,2,,1,43.899357,1151,-78.831854,,,1151
,0,,Harmony Southbound @ Florell,2,,1,43.896955,1152,-78.830782,,,1152
,0,,Harmony Northbound @ Old Harmony,2,,1,43.89775,1153,-78.830938,,,1153
,0,,Harmony Northbound @ Hoskin,2,,1,43.899752,1154,-78.831838,,,1154
,0,,Harmony Northbound @ Palace,2,,1,43.90378813,1155,-78.833706,,,1155
,0,,King Westbound @ Harmony,1,,1,43.90424800000001,1156,-78.835009,,,1156
,0,,Bond Northbound @ Riverside,2,,1,43.90426723,1157,-78.837534,,,1157
,0,,Bond Westbound @ Claymore (West side stop),1,,1,43.904135,1159,-78.844005,,,1159
,0,,Country Lane Northbound @ Randolph,2,,1,43.900852,116,-78.970374,,,116
,0,,Bond Westbound @ Patricia,2,,1,43.902664,1161,-78.84988199999998,,,1161
,0,,Bond Westbound @ Ritson,1,,1,43.900548,1163,-78.855176,,,1163
,0,,Bond Westbound @ Mary,2,,1,43.899252,1164,-78.86069,,,1164
,0,,Bond Westbound @ Simcoe,1,,1,43.89857640000001,1165,-78.8638232,,,1165
,0,,Bond Westbound @ Centre,1,,1,43.8980427,1166,-78.86599339999998,,,1166
,0,,Bond Westbound @ Arena,2,,1,43.8971812,1167,-78.8700233,,,1167
,0,,Bond Westbound @ Park,1,,1,43.896215,1169,-78.87463099999998,,,1169
,0,,Country Lane Northbound @ Twin Streams,2,,1,43.9031059,117,-78.9716001,,,117
,0,,Bond Westbound @ Gibbons,2,,1,43.895268,1171,-78.878156,,,1171
,0,,Bond Westbound @ Stevenson,1,,1,43.89388328,1172,-78.884232,,,1172
,0,,King Westbound @ Waverly,2,,1,43.892156,1173,-78.888154,,,1173
,0,,King Westbound @ Thornton,1,,1,43.89066900000001,1174,-78.894721,,,1174
,0,,King Eastbound @ Thornton,1,,1,43.8910876,1175,-78.8920772,,,1175
,0,,King Eastbound @ Waverly,2,,1,43.891958,1176,-78.88811099999998,,,1176
,0,,King Eastbound @ Stevenson,1,,1,43.89334800000001,1177,-78.88199,,,1177
,0,,King Eastbound @ Gibbons,2,,1,43.89406180000001,1178,-78.8787275,,,1178
,0,,Country Lane Northbound @ Medland,2,,1,43.907044,118,-78.973335,,,118
,0,,King Eastbound @ Warren,1,,1,43.895479,1181,-78.872558,,,1181
,0,,King Eastbound @ Midtown,2,,1,43.896359,1183,-78.868644,,,1183
,0,,King Eastbound @ Mary,2,,1,43.898339,1185,-78.860061,,,1185
,0,,King Eastbound @ Drew,2,,1,43.899141,1186,-78.856595,,,1186
,0,,King Eastbound @ Rowe,1,,1,43.89992500000001,1187,-78.853177,,,1187
,0,,King Eastbound @ Central Park,2,,1,43.901002,1188,-78.848573,,,1188
,0,,Country Lane Northbound @ Taunton,2,,1,43.9105664,119,-78.9766051,,,119
,0,,King Eastbound @ Wilson,1,,1,43.902215,1190,-78.843385,,,1190
,0,,King Eastbound @ Riverside,2,,1,43.90361,1193,-78.837145,,,1193
,0,,King Eastbound @ Harmony,2,,1,43.904153,1194,-78.834637,,,1194
,0,,King Eastbound @ Keewatin,2,,1,43.905856,1196,-78.82687,,,1196
,0,,King Eastbound @ Rockcliffe,2,,1,43.905817,1198,-78.820278,,,1198
,0,,Northbound @ 3093 Garden,2,,1,43.901464,12,-78.940766,,,12
,0,,King Eastbound @ Townline,1,,1,43.906406,1200,-78.813775,,,1200
,0,,Courtice Southbound @ Moyse (Courtice Community Complex),2,,1,43.914105,1217,-78.778936,,,1217
,0,,Highway 2 Westbound @ Courtice,1,,1,43.911594,1218,-78.779235,,,1218
,0,,Highway 2 Westbound @ Trulls,1,,1,43.911048,1219,-78.788115,,,1219
,0,,Highway 2 Westbound @ Sandringham,2,,1,43.909174,1220,-78.79601,,,1220
,0,,Highway 2 Westbound @ Prestonvale,1,,1,43.908585,1221,-78.797674,,,1221
,0,,Highway 2 Westbound @ Centerfield,1,,1,43.90764200000001,1222,-78.803571,,,1222
,0,,Highway 2 Westbound @ Varcoe,2,,1,43.907163,1223,-78.807587,,,1223
,0,,Highway 2 Eastbound @ Darlington Boulevard,2,,1,43.906907,1224,-78.808273,,,1224
,0,,Highway 2 Eastbound @ Old Kingston,1,,1,43.907393,1225,-78.803827,,,1225
,0,,Courtice Southbound @ Highway 2,2,,1,43.910864,1226,-78.777544,,,1226
,0,,Sandringham Westbound @ Short,2,,1,43.909137,1227,-78.778369,,,1227
,0,,Avondale Southbound @ Stagemaster,2,,1,43.907937,1228,-78.779807,,,1228
,0,,Avondale Southbound @ Brownstone,2,,1,43.90579242,1229,-78.780964,,,1229
,0,,Avondale Southbound @ Farmington,2,,1,43.904046,1230,-78.781861,,,1230
,0,,Trulls Northbound @ Avondale,2,,1,43.903403,1231,-78.784876,,,1231
,0,,Northbound @ 2501 Trulls,2,,1,43.90456300000001,1232,-78.785437,,,1232
,0,,Sandringham Westbound @ Bushford,2,,1,43.9059139,1233,-78.78781669999998,,,1233
,0,,Sandringham Westbound @ Yorkville,2,,1,43.90300993000001,1234,-78.790682,,,1234
,0,,King Eastbound @ Simcoe,1,,1,43.89762300000001,1242,-78.863176,,,1242
,0,,Highway 2 Eastbound @ Prestonvale,1,,1,43.908429,1244,-78.797456,,,1244
,0,,Highway 2 Eastbound @ Trulls,1,,1,43.910829,1245,-78.787906,,,1245
,0,,Taunton Eastbound @ Cochrane,2,,1,43.912852,125,-78.96736199999998,,,125
,0,,Olive Westbound @ Viewmount,2,,1,43.896941,1252,-78.821096,,,1252
,0,,Olive Westbound @ Florell,2,,1,43.89598841,1255,-78.82724399999998,,,1255
,0,,Olive Westbound @ Elmridge,1,,1,43.89510700000001,1257,-78.83126799999998,,,1257
,0,,Olive Westbound @ Poplar,2,,1,43.894441,1258,-78.834343,,,1258
,0,,Olive Westbound @ Baldwin,2,,1,43.89386600000001,1259,-78.836928,,,1259
,0,,Olive Westbound @ Wilson,2,,1,43.893383,1260,-78.839031,,,1260
,0,,Olive Westbound @ Highland,2,,1,43.892828,1261,-78.841487,,,1261
,0,,Olive Westbound @ Lasalle,2,,1,43.892535,1262,-78.842817,,,1262
,0,,Olive Westbound @ Verdun,2,,1,43.891779,1263,-78.846057,,,1263
,0,,Olive Westbound @ Ritson,2,,1,43.890989,1264,-78.849481,,,1264
,0,,Olive Westbound @ Drew,2,,1,43.89046,1265,-78.851768,,,1265
,0,,Olive Westbound @ Court,2,,1,43.889641,1266,-78.855284,,,1266
,0,,Cochrane Southbound @ Medland,2,,1,43.909537,127,-78.966002,,,127
,0,,Gibb Westbound @ Montrave,2,,1,43.8881292,1276,-78.87118169999998,,,1276
